decade,performer,chart_weeks,share_of_decade_weeks
1970s,Bee Gees,333,0.006381
1970s,Chicago,310,0.00594
1970s,Elton John,297,0.005691
1970s,Carpenters,295,0.005652
1970s,Elvis Presley,269,0.005154
1970s,James Brown,265,0.005078
1970s,Gladys Knight And The Pips,262,0.00502
1970s,Stevie Wonder,260,0.004982
1970s,Helen Reddy,260,0.004982
1970s,Neil Diamond,257,0.004924
1970s,John Denver,256,0.004905
1970s,"Earth, Wind & Fire",243,0.004656
1970s,Olivia Newton-John,242,0.004637
1970s,Barry Manilow,234,0.004484
1970s,Electric Light Orchestra,228,0.004369
1970s,Linda Ronstadt,228,0.004369
1970s,Eagles,218,0.004177
1970s,Three Dog Night,217,0.004158
1970s,Al Green,211,0.004043
1970s,The Doobie Brothers,209,0.004005
1970s,The Spinners,207,0.003966
1970s,Jackson 5,205,0.003928
1970s,Diana Ross,203,0.00389
1970s,Wings,201,0.003851
1970s,Commodores,198,0.003794
1970s,Rod Stewart,197,0.003775
1970s,The Isley Brothers,193,0.003698
1970s,ABBA,192,0.003679
1970s,Anne Murray,192,0.003679
1970s,The Temptations,192,0.003679
1970s,The Stylistics,188,0.003602
1970s,Donna Summer,185,0.003545
1970s,Aretha Franklin,185,0.003545
1970s,Alice Cooper,181,0.003468
1970s,KC And The Sunshine Band,181,0.003468
1970s,The O'Jays,178,0.003411
1970s,Barbra Streisand,175,0.003353
1970s,Glen Campbell,173,0.003315
1970s,War,172,0.003296
1970s,The 5th Dimension,170,0.003257
1970s,James Taylor,161,0.003085
1970s,Ohio Players,160,0.003066
1970s,The Rolling Stones,160,0.003066
1970s,The Guess Who,158,0.003027
1970s,Marvin Gaye,154,0.002951
1970s,Carly Simon,153,0.002932
1970s,Barry White,152,0.002912
1970s,Bread,150,0.002874
1970s,Cat Stevens,150,0.002874
1970s,B.J. Thomas,148,0.002836
1970s,America,148,0.002836
1970s,The Chi-lites,147,0.002817
1970s,Captain & Tennille,146,0.002797
1970s,KISS,146,0.002797
1970s,Steely Dan,145,0.002778
1970s,Tavares,145,0.002778
1970s,Four Tops,145,0.002778
1970s,Daryl Hall John Oates,144,0.002759
1970s,Styx,143,0.00274
1970s,Fleetwood Mac,143,0.00274
1970s,Billy Joel,142,0.002721
1970s,Joe Simon,142,0.002721
1970s,Eddie Kendricks,141,0.002702
1970s,Kool & The Gang,141,0.002702
1970s,Dr. Hook,138,0.002644
1970s,Lobo,135,0.002587
1970s,Cher,134,0.002568
1970s,Seals & Crofts,131,0.00251
1970s,Queen,130,0.002491
1970s,Foreigner,130,0.002491
1970s,Paul Davis,130,0.002491
1970s,Little River Band,129,0.002472
1970s,Jim Croce,128,0.002453
1970s,The Staple Singers,125,0.002395
1970s,B.B. King,125,0.002395
1970s,Billy Preston,125,0.002395
1970s,Atlanta Rhythm Section,124,0.002376
1970s,Heart,124,0.002376
1970s,Charlie Rich,124,0.002376
1970s,The Osmonds,123,0.002357
1970s,The Who,123,0.002357
1970s,Smokey Robinson,121,0.002318
1970s,Carole King,119,0.00228
1970s,Andy Gibb,119,0.00228
1970s,Mac Davis,118,0.002261
1970s,David Bowie,118,0.002261
1970s,Ringo Starr,118,0.002261
1970s,Johnnie Taylor,116,0.002223
1970s,Kenny Rogers,116,0.002223
1970s,England Dan & John Ford Coley,116,0.002223
1970s,Gordon Lightfoot,115,0.002203
1970s,Michael Jackson,114,0.002184
1970s,Bill Withers,113,0.002165
1970s,Donny Osmond,113,0.002165
1970s,Aerosmith,112,0.002146
1970s,Chic,110,0.002108
1970s,Peter Frampton,109,0.002089
1970s,Natalie Cole,108,0.002069
1970s,Harold Melvin And The Blue Notes,107,0.00205
1970s,Eric Clapton,107,0.00205
1970s,The Supremes,106,0.002031
1970s,The Grass Roots,106,0.002031
1970s,George Harrison,106,0.002031
1970s,Bachman-Turner Overdrive,106,0.002031
1970s,Ray Stevens,106,0.002031
1970s,Bay City Rollers,105,0.002012
1970s,Santana,104,0.001993
1970s,The Main Ingredient,101,0.001935
1970s,Jefferson Starship,101,0.001935
1970s,The Pointer Sisters,100,0.001916
1970s,Neil Sedaka,100,0.001916
1970s,Rufus Featuring Chaka Khan,100,0.001916
1970s,Paul Simon,99,0.001897
1970s,Leo Sayer,98,0.001878
1970s,Tom Jones,98,0.001878
1970s,Rita Coolidge,98,0.001878
1970s,Bad Company,97,0.001859
1970s,The Dramatics,96,0.001839
1970s,Tyrone Davis,96,0.001839
1970s,Rare Earth,95,0.00182
1970s,Firefall,95,0.00182
1970s,Johnny Rivers,95,0.00182
1970s,The Sylvers,94,0.001801
1970s,Donny & Marie Osmond,94,0.001801
1970s,Pablo Cruise,93,0.001782
1970s,Engelbert Humperdinck,92,0.001763
1970s,Yvonne Elliman,91,0.001744
1970s,Wilson Pickett,91,0.001744
1970s,Boz Scaggs,91,0.001744
1970s,Jim Stafford,91,0.001744
1970s,Isaac Hayes,91,0.001744
1970s,The Beach Boys,90,0.001724
1970s,Sweet,89,0.001705
1970s,Curtis Mayfield,89,0.001705
1970s,Candi Staton,88,0.001686
1970s,Sly & The Family Stone,88,0.001686
1970s,Grand Funk,88,0.001686
1970s,The Steve Miller Band,87,0.001667
1970s,Nilsson,87,0.001667
1970s,Bob Dylan,87,0.001667
1970s,Bobby Vinton,87,0.001667
1970s,Hot Chocolate,87,0.001667
1970s,Frankie Valli,86,0.001648
1970s,The Partridge Family Starring Shirley Jones Featuring David Cassidy,86,0.001648
1970s,Tony Orlando & Dawn,86,0.001648
1970s,The Manhattans,86,0.001648
1970s,Kansas,85,0.001629
1970s,Eric Carmen,84,0.00161
1970s,Dionne Warwick,83,0.00159
1970s,Melissa Manchester,83,0.00159
1970s,Grand Funk Railroad,83,0.00159
1970s,10cc,82,0.001571
1970s,Bette Midler,82,0.001571
1970s,Jimmy Buffett,82,0.001571
1970s,Paul Anka,81,0.001552
1970s,Joe Cocker,81,0.001552
1970s,Donna Fargo,81,0.001552
1970s,Gilbert O'Sullivan,81,0.001552
1970s,Roberta Flack,80,0.001533
1970s,The Hollies,80,0.001533
1970s,Paul McCartney And Wings,80,0.001533
1970s,Leif Garrett,80,0.001533
1970s,Led Zeppelin,79,0.001514
1970s,Freddy Fender,79,0.001514
1970s,Joni Mitchell,78,0.001495
1970s,Jackson Browne,77,0.001475
1970s,George Benson,77,0.001475
1970s,Crystal Gayle,77,0.001475
1970s,Dolly Parton,77,0.001475
1970s,Rose Royce,77,0.001475
1970s,The Emotions,77,0.001475
1970s,Foghat,77,0.001475
1970s,Lou Rawls,76,0.001456
1970s,Van Morrison,76,0.001456
1970s,Village People,76,0.001456
1970s,The Moody Blues,76,0.001456
1970s,Shaun Cassidy,75,0.001437
1970s,Smokey Robinson & The Miracles,75,0.001437
1970s,Supertramp,75,0.001437
1970s,Bobby Sherman,74,0.001418
1970s,The Dells,73,0.001399
1970s,Lynyrd Skynyrd,71,0.00136
1970s,Albert Hammond,71,0.00136
1970s,"Hamilton, Joe Frank & Reynolds",71,0.00136
1970s,Gerry Rafferty,70,0.001341
1970s,Tower Of Power,70,0.001341
1970s,Gloria Gaynor,70,0.001341
1970s,Melanie,69,0.001322
1970s,Raspberries,69,0.001322
1970s,Boston,69,0.001322
1970s,Tommy James,69,0.001322
1970s,Eddie Money,68,0.001303
1970s,Todd Rundgren,68,0.001303
1970s,Dawn Featuring Tony Orlando,68,0.001303
1970s,Kris Kristofferson,68,0.001303
1970s,Judy Collins,68,0.001303
1970s,Bob Seger & The Silver Bullet Band,67,0.001284
1970s,Millie Jackson,67,0.001284
1970s,The Cars,67,0.001284
1970s,Jerry Reed,67,0.001284
1970s,Wet Willie,66,0.001265
1970s,Orleans,66,0.001265
1970s,Player,66,0.001265
1970s,Harry Chapin,66,0.001265
1970s,Creedence Clearwater Revival,66,0.001265
1970s,The Jacksons,66,0.001265
1970s,Ray Charles,65,0.001245
1970s,The Trammps,65,0.001245
1970s,Heatwave,64,0.001226
1970s,Brownsville Station,64,0.001226
1970s,The J. Geils Band,64,0.001226
1970s,Clarence Carter,64,0.001226
1970s,David Gates,64,0.001226
1970s,Freda Payne,63,0.001207
1970s,Bob Welch,63,0.001207
1970s,Chairman Of The Board,63,0.001207
1970s,Gary Wright,62,0.001188
1970s,The Kinks,62,0.001188
1970s,Stephen Bishop,61,0.001169
1970s,Bob Seger,61,0.001169
1970s,Simon & Garfunkel,61,0.001169
1970s,The 4 Seasons,61,0.001169
1970s,Poco,61,0.001169
1970s,Bloodstone,60,0.00115
1970s,Love Unlimited Orchestra,60,0.00115
1970s,The Beatles,59,0.00113
1970s,Steppenwolf,59,0.00113
1970s,Peaches & Herb,59,0.00113
1970s,B.T. Express,59,0.00113
1970s,The Impressions,59,0.00113
1970s,Jr. Walker & The All Stars,58,0.001111
1970s,Al Wilson,58,0.001111
1970s,Ike & Tina Turner,57,0.001092
1970s,Ray Price,57,0.001092
1970s,The Raiders,57,0.001092
1970s,Redbone,57,0.001092
1970s,Ozark Mountain Daredevils,56,0.001073
1970s,The Marshall Tucker Band,56,0.001073
1970s,Maureen McGovern,56,0.001073
1970s,Maxine Nightingale,56,0.001073
1970s,Ronnie Dyson,56,0.001073
1970s,Bobby Goldsboro,55,0.001054
1970s,Jethro Tull,55,0.001054
1970s,Badfinger,55,0.001054
1970s,The Miracles,55,0.001054
1970s,Robert John,55,0.001054
1970s,Cornelius Brothers & Sister Rose,54,0.001035
1970s,Dawn,54,0.001035
1970s,Dave Mason,54,0.001035
1970s,Steve Miller,54,0.001035
1970s,ZZ Top,54,0.001035
1970s,The Honey Cone,54,0.001035
1970s,Luther Ingram,53,0.001016
1970s,Gallery,53,0.001016
1970s,Andy Kim,53,0.001016
1970s,Detroit Emeralds,53,0.001016
1970s,Don McLean,53,0.001016
1970s,Al Stewart,53,0.001016
1970s,Jennifer Warnes,53,0.001016
1970s,Eddie Rabbitt,52,0.000996
1970s,"Blood, Sweat & Tears",52,0.000996
1970s,The Delfonics,52,0.000996
1970s,Dr. Hook And The Medicine Show,52,0.000996
1970s,Michael Murphey,52,0.000996
1970s,"Marilyn McCoo & Billy Davis, Jr.",52,0.000996
1970s,Tanya Tucker,52,0.000996
1970s,Cheech & Chong,52,0.000996
1970s,Dobie Gray,52,0.000996
1970s,The Brothers Johnson,51,0.000977
1970s,Thelma Houston,51,0.000977
1970s,Cheap Trick,51,0.000977
1970s,Neil Young,50,0.000958
1970s,Mark Lindsay,50,0.000958
1970s,Al Martino,50,0.000958
1970s,Kenny Loggins,50,0.000958
1970s,Kenny Rogers & The First Edition,50,0.000958
1970s,Mary Macgregor,50,0.000958
1970s,Journey,50,0.000958
1970s,AWB,50,0.000958
1970s,Andrew Gold,49,0.000939
1970s,Blondie,49,0.000939
1970s,Edwin Starr,49,0.000939
1970s,Ronnie Milsap,49,0.000939
1970s,Wild Cherry,48,0.00092
1970s,Starbuck,48,0.00092
1970s,Ambrosia,48,0.00092
1970s,Michael Johnson,48,0.00092
1970s,Lynn Anderson,48,0.00092
1970s,Dorothy Moore,48,0.00092
1970s,Johnny Nash,48,0.00092
1970s,Kenny Nolan,48,0.00092
1970s,The Allman Brothers Band,47,0.000901
1970s,Parliament,47,0.000901
1970s,Jermaine Jackson,47,0.000901
1970s,Gino Vannelli,47,0.000901
1970s,Joe Tex,47,0.000901
1970s,Andrea True Connection,47,0.000901
